CustomerID,Age,Gender,Tenure,AverageTransactionValue,PurchaseFrequency,LastPurchaseDaysAgo,TotalVisits,MembershipType,Region,EmailEngagement,DiscountUsage,Churn
C0031,66,Male,8,107.78,5,41,71,Silver,South,Medium,0,0
C0032,44,Male,3,422.98,10,88,74,Basic,East,Medium,2,0
C0033,59,Female,6,317.4,6,48,80,Silver,West,High,0,0
C0034,45,Male,5,200.38,11,114,56,Basic,North,Medium,3,0
C0035,33,Female,8,153.78,4,22,79,Basic,South,Medium,8,0
C0036,32,Female,4,320.06,10,99,43,Silver,South,Medium,4,0
C0037,64,Male,8,161.65,1,17,63,Basic,East,Low,2,0
C0038,68,Male,2,343.22,4,86,30,Silver,East,Medium,9,0
C0039,61,Male,9,412.61,2,133,69,Gold,East,Medium,6,0
C0040,69,Male,9,513.69,10,61,84,Basic,West,Medium,5,0
C0041,20,Female,6,439.32,3,89,52,Gold,West,Low,8,0
C0042,54,Female,4,132.6,7,134,57,Basic,West,Low,3,0
C0043,68,Female,4,253.72,7,81,13,Basic,South,Low,3,0
C0044,24,Male,6,243.99,1,95,9,Silver,East,Low,8,0
C0045,38,Female,5,557.52,8,145,76,Silver,South,Medium,1,0
C0046,26,Male,6,533.89,7,59,65,Basic,North,High,9,0
C0047,56,Male,7,285.07,1,167,25,Silver,West,Medium,1,0
C0048,35,Male,7,135.58,8,54,67,Platinum,South,Medium,8,0
C0049,21,Male,9,547.05,2,126,24,Basic,North,Medium,6,0
C0050,42,Male,8,544.09,8,176,62,Gold,South,Low,4,0
C0051,31,Female,6,527.37,3,165,49,Silver,North,Low,4,0
C0052,67,Female,6,522.54,10,48,26,Gold,South,Low,8,0
C0053,26,Male,5,340.13,7,68,81,Basic,South,Medium,9,0
C0054,43,Female,1,188.72,6,107,79,Silver,West,Medium,4,0
C0055,19,Male,9,338.74,5,78,86,Basic,South,High,8,0
C0056,37,Male,9,347.3,11,77,67,Gold,South,High,7,0
C0057,45,Male,9,344.97,10,27,34,Silver,East,Medium,5,0
C0058,64,Female,8,369.39,11,88,67,Basic,South,Medium,4,0
C0059,24,Male,3,228.83,2,155,48,Basic,West,Medium,4,0
C0060,61,Male,1,283.12,2,72,71,Gold,South,Low,4,1
C0061,25,Female,8,317.09,1,47,62,Silver,West,High,0,0
C0062,64,Female,7,165.56,9,103,69,Basic,East,Low,4,0
C0063,52,Female,5,327.68,11,21,40,Basic,West,Medium,2,0
C0064,31,Male,7,505.23,8,115,10,Gold,East,Medium,5,0
C0065,34,Male,4,514.03,8,57,41,Basic,East,Medium,8,0
C0066,53,Female,9,305.78,1,105,97,Basic,East,Medium,2,0
C0067,67,Male,2,359.4,5,95,79,Gold,East,High,0,0
C0068,57,Female,9,116.83,6,170,59,Basic,East,Low,7,0
C0069,21,Female,9,437.22,2,110,81,Basic,West,Low,8,0
C0070,19,Male,5,302.3,10,176,79,Basic,East,Medium,9,0
C0071,23,Male,1,322.74,5,27,63,Gold,East,Low,3,0
C0072,59,Female,7,536.84,6,128,42,Basic,East,Medium,9,0
C0073,21,Female,4,330.92,9,161,29,Silver,East,Medium,4,0
C0074,46,Female,9,110.6,10,76,83,Gold,East,High,2,0
C0075,35,Female,6,213.75,1,35,81,Basic,North,Medium,7,0
C0076,43,Male,3,337.81,10,98,37,Gold,South,High,2,0
C0077,61,Female,6,312.2,3,144,17,Basic,South,Medium,3,0
C0078,51,Female,6,530.19,9,36,42,Silver,East,High,9,0
C0079,27,Female,5,371.07,1,66,62,Basic,East,Low,6,0
C0080,53,Male,2,444.82,1,56,92,Silver,North,Medium,1,0
C0081,31,Male,2,334.66,1,145,24,Basic,East,High,0,0
C0082,48,Female,7,319.83,7,148,21,Basic,North,Medium,3,0
C0083,65,Male,2,323.14,5,94,28,Gold,South,High,7,0
C0084,32,Male,6,305.46,6,106,30,Basic,West,Low,0,0
C0085,25,Male,5,369.29,8,84,44,Gold,South,High,9,0
C0086,31,Female,4,225.22,2,136,36,Basic,West,Medium,2,0
C0087,40,Female,7,545.53,2,146,97,Basic,West,Low,3,0
C0088,57,Male,8,266.54,3,18,82,Gold,West,Low,3,0
C0089,38,Female,4,173.76,3,146,41,Basic,East,Low,2,0
C0090,33,Female,1,148.28,3,125,90,Gold,North,High,2,0
C0091,62,Male,1,106.71,4,2,95,Basic,West,Medium,6,0
C0092,35,Male,1,311.43,3,76,96,Basic,North,High,7,0
C0093,64,Female,1,193.81,2,179,90,Silver,South,Medium,9,0
C0094,41,Male,5,110.82,9,138,64,Basic,West,High,3,0
C0095,43,Female,4,360.01,6,142,61,Basic,South,Medium,7,0
C0096,42,Female,9,439.99,3,26,62,Silver,North,Low,7,0
C0097,62,Male,3,142.88,9,47,71,Basic,North,Low,5,0
C0098,58,Female,7,330.46,4,30,26,Basic,South,High,0,0
C0099,46,Female,8,471.81,4,56,62,Gold,North,Medium,6,0
C0100,32,Male,6,592.9,8,119,89,Gold,South,Low,6,0
C0101,62,Male,1,433.6,7,170,84,Basic,North,Low,4,1
C0102,18,Male,8,222.42,7,132,77,Silver,East,Low,5,0
C0103,42,Female,3,458.28,10,139,81,Silver,South,High,8,0
C0104,24,Male,8,398.96,7,152,78,Silver,West,Medium,2,0
C0105,26,Male,4,205.9,10,165,53,Basic,West,Medium,3,0
C0106,41,Male,8,525.56,11,130,89,Platinum,West,High,8,0
C0107,18,Male,1,313.7,5,140,53,Basic,North,Medium,9,0
C0108,61,Female,3,580.99,7,21,46,Silver,South,High,1,0
C0109,25,Female,6,461.45,4,68,44,Gold,North,Medium,8,0
C0110,41,Male,9,422.28,8,126,75,Silver,West,High,4,0
C0111,28,Female,2,464.18,9,43,50,Gold,East,Low,2,0
C0112,68,Male,1,339.05,3,100,26,Basic,West,Medium,7,0
C0113,34,Male,3,352.61,7,123,86,Basic,West,Medium,8,0
C0114,25,Female,4,525.6,10,93,25,Gold,West,Low,0,0
C0115,52,Female,5,440.46,9,140,55,Basic,East,Medium,4,0
C0116,52,Male,3,548.62,1,129,18,Silver,East,Medium,8,0
C0117,50,Male,2,545.41,2,161,78,Basic,South,Low,1,1
C0118,22,Female,2,588.25,7,116,13,Silver,East,Medium,0,0
C0119,59,Male,7,450.11,2,115,22,Silver,South,High,7,0
C0120,56,Female,9,351.15,7,142,17,Basic,East,Medium,5,0
C0121,58,Male,2,183.16,1,119,21,Basic,South,Medium,1,0
C0122,45,Male,7,452.69,3,93,91,Silver,West,Low,2,0
C0123,24,Female,7,245.79,5,142,29,Basic,East,Low,4,0
C0124,26,Female,7,241.47,11,9,58,Silver,North,Medium,0,0
C0125,25,Female,3,219.14,6,73,20,Silver,North,High,1,0
C0126,29,Female,7,537.56,9,26,28,Basic,South,High,0,0
C0127,51,Female,1,533.98,9,177,99,Silver,East,Medium,6,0
C0128,50,Female,1,415.49,3,106,79,Basic,East,Medium,6,0
C0129,65,Female,5,336.49,8,145,27,Basic,North,Medium,9,0
C0130,40,Male,2,436.06,4,68,45,Basic,East,Medium,4,0
C0131,41,Male,9,403.61,7,110,90,Silver,East,Medium,9,0
C0132,54,Male,7,307.87,6,131,37,Gold,South,Medium,5,0
C0133,52,Female,4,289.82,8,25,46,Basic,West,Low,2,0
C0134,61,Female,4,291.4,6,21,52,Basic,North,High,1,0
C0135,57,Female,2,394.57,4,140,22,Basic,West,Low,9,1
C0136,39,Male,5,423.83,2,54,67,Silver,East,Medium,8,0
C0137,44,Female,4,325.87,7,1,82,Basic,East,High,1,0
C0138,52,Female,1,584.35,11,128,96,Silver,South,Medium,0,0
C0139,18,Male,8,141.92,11,1,15,Basic,West,Low,8,0
C0140,52,Female,3,273.52,4,173,28,Gold,West,Low,7,0
C0141,54,Male,6,309.54,9,174,65,Silver,South,Medium,7,0
C0142,64,Male,4,108.46,9,176,68,Gold,West,Low,6,0
C0143,31,Female,9,282.48,7,135,40,Basic,South,Medium,8,0
C0144,20,Female,7,236.85,5,10,87,Silver,South,Medium,2,0
C0145,18,Female,9,353.02,3,143,81,Silver,East,High,7,0
C0146,22,Male,3,268.21,3,40,57,Silver,East,Low,0,0
C0147,43,Male,1,463.09,9,139,87,Basic,East,Medium,0,0
C0148,31,Male,5,354.97,9,174,51,Platinum,South,Medium,5,0
C0149,56,Female,3,164.88,11,45,56,Basic,East,Medium,7,0
C0150,44,Female,6,475.03,4,87,83,Basic,North,Low,7,0
C0151,26,Female,8,149.61,11,141,61,Basic,North,Medium,9,0
C0152,32,Female,4,519.52,1,27,79,Silver,East,Medium,0,0
C0153,32,Male,5,565.71,10,50,27,Silver,South,Low,0,0
C0154,43,Male,5,261.22,5,61,63,Basic,North,High,8,0
C0155,59,Male,4,563.07,8,13,73,Basic,East,High,8,0
C0156,30,Male,4,496.5,10,140,60,Silver,North,Low,6,0
C0157,68,Female,4,561.22,4,157,90,Basic,North,Medium,0,0
C0158,49,Female,4,433.14,10,85,46,Gold,North,Medium,9,0
C0159,56,Female,4,217.82,10,84,22,Gold,West,Low,1,0
C0160,66,Male,5,547.26,4,20,75,Basic,North,Medium,7,0
C0161,69,Male,2,192.13,9,31,37,Basic,East,High,7,0
C0162,49,Female,2,206.53,9,8,7,Gold,North,Medium,4,0
C0163,21,Female,9,235.53,7,24,32,Basic,East,High,1,0
C0164,47,Male,2,252.12,10,167,5,Basic,North,Medium,2,0
C0165,54,Female,6,357.24,8,33,67,Basic,North,Low,4,0
C0166,40,Male,2,456.73,4,42,51,Basic,West,Low,2,0
C0167,56,Male,5,563.1,8,143,41,Gold,North,Medium,9,0
C0168,62,Male,4,144.22,6,160,90,Silver,East,Medium,0,0
C0169,32,Female,7,577.18,3,139,52,Platinum,West,Low,5,0
C0170,60,Female,7,560.66,7,94,23,Basic,West,Medium,4,0
C0171,46,Male,6,127.0,3,37,18,Basic,North,High,2,0
C0172,53,Female,5,280.16,11,147,71,Platinum,North,Medium,8,0
C0173,30,Male,1,506.57,7,179,87,Gold,South,Low,9,1
C0174,49,Male,3,405.79,5,34,89,Silver,North,Low,7,0
C0175,24,Male,9,489.55,4,53,69,Basic,South,High,6,0
C0176,68,Male,1,459.52,3,140,30,Silver,East,High,1,0
C0177,39,Female,5,348.39,8,96,14,Basic,North,Medium,9,0
C0178,45,Male,2,120.61,4,105,81,Silver,North,High,4,0
C0179,19,Male,4,392.13,8,48,74,Silver,South,Low,4,0
C0180,59,Female,1,124.28,10,40,47,Silver,South,Low,5,0
C0181,62,Male,3,401.86,3,152,74,Silver,West,Low,5,0
C0182,23,Male,7,500.21,10,178,84,Silver,West,Low,2,0
C0183,45,Female,3,392.5,9,88,76,Basic,North,High,3,0
C0184,45,Female,4,598.51,6,43,63,Basic,East,Medium,0,0
C0185,61,Female,2,327.93,5,17,7,Silver,West,Low,0,0
C0186,61,Male,3,474.41,5,102,9,Basic,West,High,4,0
C0187,37,Female,9,433.61,3,162,89,Basic,West,High,3,0
C0188,47,Female,3,595.72,2,111,99,Basic,South,Low,6,0
C0189,28,Male,5,456.61,6,70,82,Basic,North,Medium,6,0
C0190,45,Male,2,182.02,11,60,87,Platinum,South,Medium,3,0
C0191,42,Male,4,577.76,1,179,41,Basic,East,Medium,9,0
C0192,56,Male,7,433.89,7,77,88,Silver,South,Medium,1,0
C0193,50,Male,7,129.67,5,35,56,Silver,North,Low,9,0
C0194,18,Female,3,428.78,4,162,70,Basic,South,Medium,3,0
C0195,44,Female,5,541.56,9,16,67,Gold,East,High,7,0
C0196,69,Female,1,388.52,10,146,11,Basic,North,High,1,0
C0197,30,Male,1,277.01,1,38,57,Gold,North,Low,4,0
C0198,58,Male,5,510.45,11,171,10,Basic,North,Low,6,0
C0199,20,Male,9,491.26,4,32,11,Basic,North,High,9,0
C0200,56,Female,1,372.09,3,7,48,Basic,East,Medium,5,0
C0201,23,Female,1,177.18,6,46,22,Basic,North,Medium,8,0
C0202,25,Male,4,225.49,5,18,58,Gold,East,Medium,1,0
C0203,44,Female,4,469.24,7,71,33,Basic,East,Medium,3,0
C0204,26,Male,2,503.04,1,40,87,Silver,South,Medium,6,0
C0205,54,Female,9,239.63,5,88,29,Basic,South,Medium,7,0
C0206,50,Female,9,283.99,2,78,67,Gold,North,Low,4,0
C0207,68,Female,2,138.82,2,178,72,Silver,West,High,4,0
C0208,59,Male,9,456.73,11,5,17,Basic,West,High,3,0
C0209,61,Female,6,101.79,11,86,36,Basic,North,High,8,0
C0210,41,Female,8,123.27,2,22,31,Silver,East,High,9,0
C0211,32,Male,4,102.17,9,74,55,Basic,South,Medium,3,0
C0212,49,Female,2,422.66,10,90,38,Basic,North,Low,2,1
C0213,49,Male,2,308.69,3,79,32,Silver,North,Low,8,1
C0214,41,Male,9,248.77,4,166,77,Platinum,East,Low,6,0
C0215,58,Male,1,556.35,5,119,76,Gold,South,Medium,8,0
C0216,69,Male,7,196.4,4,177,89,Silver,West,Medium,3,0
C0217,66,Male,3,294.68,4,129,34,Silver,West,High,2,0
C0218,66,Female,3,570.16,5,78,97,Platinum,North,Medium,9,0
C0219,69,Male,2,313.55,10,36,13,Silver,North,Medium,7,0
C0220,29,Male,6,377.35,9,95,17,Basic,North,Medium,3,0
C0221,56,Male,2,140.17,9,28,86,Gold,North,Low,9,0
C0222,19,Male,4,495.08,6,98,68,Basic,North,High,2,0
C0223,20,Female,9,311.38,11,35,42,Basic,West,Medium,3,0
C0224,66,Male,9,500.26,3,62,26,Silver,North,Low,1,0
C0225,54,Female,6,226.9,6,87,35,Basic,South,High,3,0
C0226,66,Male,4,311.24,10,174,46,Basic,East,Medium,6,0
C0227,34,Female,7,493.27,4,108,66,Basic,West,Medium,2,0
C0228,66,Male,1,586.94,3,125,68,Silver,East,Medium,0,0
C0229,19,Male,4,129.81,6,79,78,Platinum,East,Medium,9,0
C0230,19,Female,5,506.23,11,125,13,Basic,North,Low,7,0
C0231,45,Male,8,250.34,6,61,99,Basic,East,High,5,0
C0232,40,Female,2,375.37,2,26,48,Basic,South,High,2,0
C0233,54,Male,5,245.05,9,163,67,Silver,North,Medium,7,0
C0234,49,Female,6,406.72,8,57,44,Silver,West,Medium,5,0
C0235,50,Male,5,276.9,6,132,92,Basic,South,High,0,0
C0236,18,Male,9,266.81,1,42,45,Basic,West,Medium,8,0
C0237,36,Female,1,118.97,2,173,76,Silver,North,High,8,0
C0238,19,Male,3,173.48,4,167,54,Silver,North,Medium,8,0
C0239,61,Male,2,558.54,7,22,24,Basic,West,Medium,5,0
C0240,43,Male,3,599.14,9,139,85,Basic,East,Medium,5,0
C0241,49,Male,9,490.26,10,165,96,Basic,West,Medium,3,0
C0242,23,Male,9,243.41,5,90,74,Platinum,South,Low,7,0
C0243,49,Male,2,301.22,10,179,46,Gold,East,Medium,8,0
C0244,21,Female,3,469.75,2,58,37,Silver,North,Medium,6,0
C0245,28,Female,4,584.26,11,7,96,Gold,South,Medium,6,0
C0246,34,Female,9,327.74,11,136,67,Silver,South,Low,1,0
C0247,55,Male,3,514.76,11,51,61,Gold,North,Medium,1,0
C0248,41,Female,7,587.53,1,151,69,Basic,East,Medium,9,0
C0249,22,Male,3,536.74,10,90,56,Basic,North,High,1,0
C0250,69,Male,7,213.57,1,108,92,Silver,South,High,3,0
C0251,51,Male,7,104.02,5,9,10,Silver,South,High,8,0
C0252,23,Male,9,346.04,7,174,11,Basic,South,Low,4,0
C0253,39,Female,2,365.68,9,38,13,Basic,North,High,1,0
C0254,28,Male,6,200.63,9,111,65,Basic,West,Low,3,0
C0255,65,Female,9,242.34,8,13,84,Basic,South,Low,6,0
C0256,33,Male,2,482.58,1,7,38,Basic,South,Low,4,0
C0257,50,Female,2,335.17,5,139,39,Silver,East,High,7,0
C0258,26,Female,5,258.68,6,178,24,Gold,West,Low,0,0
C0259,23,Female,8,411.31,6,67,62,Silver,East,Low,4,0
C0260,33,Female,9,426.38,4,41,91,Gold,South,Low,3,0
C0261,46,Female,2,484.7,1,157,64,Gold,West,Medium,2,0
C0262,20,Female,5,178.35,3,165,58,Basic,East,High,6,0
C0263,37,Male,7,470.76,10,16,39,Basic,North,Medium,9,0
C0264,53,Female,6,399.71,4,44,51,Basic,East,Medium,0,0
C0265,36,Male,6,128.79,4,50,50,Gold,West,Low,5,0
C0266,43,Female,7,488.72,4,134,91,Basic,East,Low,7,0
C0267,20,Male,3,291.54,5,18,8,Silver,West,Low,1,0
C0268,36,Female,3,265.19,11,147,14,Basic,West,Medium,5,0
C0269,37,Female,9,324.04,9,51,79,Gold,East,Medium,0,0
C0270,49,Male,8,273.09,4,3,44,Basic,East,Low,5,0
C0271,24,Female,5,269.14,9,89,59,Gold,North,High,5,0
C0272,69,Female,6,504.04,9,54,77,Basic,East,High,4,0
C0273,58,Female,1,162.25,1,49,44,Basic,West,Low,6,0
C0274,50,Male,1,585.3,5,28,80,Silver,South,Low,4,0
C0275,57,Female,4,377.47,9,38,85,Platinum,East,Medium,7,0
C0276,56,Male,2,191.46,4,28,27,Silver,East,Low,1,0
C0277,35,Female,7,165.61,5,32,19,Gold,West,Medium,5,0
C0278,57,Female,2,395.75,4,41,96,Silver,South,Medium,4,0
C0279,18,Male,2,416.5,2,36,9,Silver,North,High,9,0
C0280,28,Female,5,126.51,10,103,44,Basic,South,Medium,1,0
C0281,45,Female,4,221.5,2,36,22,Basic,West,Low,6,0
C0282,42,Male,8,497.73,2,107,25,Basic,West,Low,3,0
C0283,67,Female,4,124.81,1,126,83,Platinum,West,Low,5,0
C0284,40,Male,6,527.54,3,87,7,Platinum,West,Medium,4,0
C0285,48,Male,5,429.08,11,66,50,Silver,South,Medium,3,0
C0286,47,Male,2,317.21,10,138,94,Basic,South,High,1,0
C0287,59,Female,8,273.22,1,70,83,Basic,South,Medium,6,0
C0288,52,Male,2,109.62,4,79,57,Platinum,East,Medium,4,0
C0289,24,Male,9,512.61,1,93,24,Basic,West,Medium,2,0
C0290,33,Female,9,171.36,4,92,63,Gold,East,Low,5,0
C0291,43,Male,3,254.77,3,22,25,Basic,East,High,7,0
C0292,65,Female,4,384.55,9,20,94,Basic,East,Low,9,0
C0293,69,Female,8,223.0,1,33,91,Gold,North,Low,9,0
C0294,66,Female,9,348.57,8,143,55,Basic,East,Low,1,0
C0295,19,Female,3,504.67,11,135,29,Basic,West,Medium,9,0
C0296,18,Male,5,335.27,9,90,72,Platinum,East,High,3,0
C0297,65,Male,8,574.49,7,50,14,Silver,West,Low,2,0
C0298,29,Male,3,523.75,1,10,90,Silver,North,Medium,6,0
C0299,22,Male,7,266.52,4,79,71,Silver,South,Low,9,0
C0300,54,Male,8,299.98,10,37,87,Basic,West,Medium,7,0
C0301,49,Female,3,311.66,1,59,99,Basic,East,Medium,7,0
C0302,26,Male,2,413.09,4,88,13,Basic,West,Medium,3,0
C0303,58,Male,7,243.4,3,104,33,Basic,East,Medium,9,0
C0304,52,Male,9,584.62,2,63,41,Basic,South,High,1,0
C0305,36,Female,1,404.34,1,21,75,Silver,West,Medium,5,0
C0306,65,Female,3,299.7,6,104,42,Basic,East,Medium,2,0
C0307,33,Male,5,422.5,7,79,92,Silver,West,Medium,7,0
C0308,20,Female,3,297.7,6,37,76,Basic,South,Medium,2,0
C0309,37,Male,1,508.9,9,45,63,Basic,South,Low,1,0
C0310,41,Male,7,383.92,9,142,61,Basic,South,Medium,8,0
C0311,50,Female,7,120.99,2,43,94,Gold,West,Low,8,0
C0312,41,Female,8,188.38,2,116,64,Basic,West,Medium,8,0
C0313,69,Male,5,532.5,9,85,32,Silver,East,Medium,2,0
C0314,28,Male,5,381.45,1,84,32,Silver,South,Low,1,0
C0315,66,Female,5,575.17,5,161,50,Basic,East,Medium,3,0
C0316,25,Male,1,136.21,1,3,75,Silver,West,High,1,0
C0317,53,Female,5,247.63,7,104,71,Gold,North,Medium,7,0
C0318,55,Male,6,196.77,9,87,90,Silver,South,Low,9,0
C0319,57,Female,1,376.92,6,172,59,Basic,East,High,0,0
C0320,37,Male,7,291.4,2,111,42,Silver,South,Medium,1,0
C0321,52,Male,1,178.64,6,87,22,Silver,East,Low,5,1
C0322,65,Female,2,421.38,9,91,80,Basic,East,Medium,8,0
C0323,42,Male,2,368.15,3,35,99,Basic,North,Medium,9,0
C0324,52,Male,5,237.37,9,153,67,Basic,West,Medium,4,0
C0325,42,Female,7,339.89,8,96,9,Basic,South,Medium,4,0
C0326,46,Male,1,472.87,7,86,48,Basic,West,Medium,2,0
C0327,35,Male,1,202.64,8,136,33,Basic,East,Medium,7,0
C0328,63,Male,1,246.45,10,116,18,Basic,West,Medium,5,0
C0329,35,Female,6,273.06,6,146,62,Gold,North,Medium,9,0
C0330,19,Female,2,473.36,3,92,48,Silver,West,High,1,0
C0331,52,Female,1,523.46,7,156,22,Gold,East,Medium,4,0
C0332,33,Male,6,288.19,4,140,11,Silver,East,Medium,3,0
C0333,58,Male,2,248.31,11,2,91,Basic,North,Low,9,0
C0334,53,Male,6,544.72,10,165,66,Basic,South,Low,8,0
C0335,50,Male,8,599.68,5,124,49,Gold,North,High,3,0
C0336,21,Female,2,435.18,8,4,20,Basic,South,Low,7,0
C0337,50,Male,9,594.99,7,169,68,Basic,East,Low,0,0
C0338,31,Male,8,429.98,7,173,41,Basic,West,Medium,4,0
C0339,38,Male,1,466.73,8,109,29,Basic,East,Medium,8,0
C0340,65,Female,7,294.33,10,111,13,Basic,North,Medium,2,0
C0341,37,Male,6,316.48,3,34,59,Basic,North,Low,5,0
C0342,25,Male,6,172.07,3,87,32,Basic,West,Low,9,0
C0343,24,Male,6,511.38,2,13,13,Silver,North,Medium,5,0
C0344,20,Male,6,565.53,1,7,16,Basic,East,Medium,5,0
C0345,34,Male,7,411.72,10,32,22,Silver,West,Medium,3,0
C0346,50,Female,3,271.82,6,23,95,Silver,South,Medium,6,0
C0347,65,Male,6,177.01,6,177,94,Silver,North,Medium,2,0
C0348,29,Male,3,232.58,10,47,60,Basic,South,Low,5,0
C0349,68,Male,7,227.71,8,165,94,Silver,West,Medium,9,0
C0350,39,Male,7,406.76,6,176,78,Basic,North,Low,4,0
C0351,39,Male,8,572.52,6,29,62,Basic,West,Low,2,0
C0352,63,Male,2,124.14,1,165,85,Silver,North,Medium,1,0
C0353,47,Male,9,100.51,7,23,55,Basic,North,Low,0,0
C0354,55,Male,5,400.09,7,38,36,Basic,North,Medium,7,0
C0355,55,Male,9,242.03,10,127,92,Basic,West,Medium,0,0
C0356,62,Male,5,540.27,9,44,52,Basic,West,Medium,4,0
C0357,68,Female,7,263.63,7,5,12,Basic,East,Medium,4,0
C0358,25,Female,9,244.87,8,40,34,Platinum,East,High,0,0
C0359,44,Female,4,234.76,4,139,30,Basic,West,Medium,8,0
C0360,44,Female,2,172.43,9,78,28,Basic,West,Medium,4,0
C0361,51,Male,9,390.77,1,106,31,Silver,North,High,8,0
C0362,38,Female,2,184.11,8,130,83,Silver,East,Medium,5,0
C0363,47,Female,3,312.32,3,163,96,Gold,East,Medium,6,0
C0364,50,Male,2,330.49,1,173,79,Gold,West,Medium,6,0
C0365,45,Female,3,110.25,2,49,43,Silver,East,Medium,1,0
C0366,64,Female,6,108.4,6,123,70,Platinum,West,High,4,0
C0367,50,Male,3,360.11,5,35,55,Basic,East,Low,1,0
C0368,22,Male,8,448.02,3,106,77,Silver,South,High,3,0
C0369,65,Male,6,571.07,9,72,54,Gold,South,Medium,2,0
C0370,36,Female,7,189.56,8,160,49,Silver,East,High,5,0
C0371,21,Female,1,151.63,3,109,91,Platinum,West,Low,4,1
C0372,52,Male,3,126.04,2,125,37,Basic,South,High,0,0
C0373,66,Male,3,318.02,8,71,23,Basic,North,Low,1,0
C0374,34,Female,2,411.57,5,39,17,Platinum,West,Medium,6,0
C0375,61,Male,7,520.28,9,176,82,Basic,South,Medium,8,0
C0376,45,Female,9,441.32,1,91,26,Silver,North,Medium,0,0
C0377,47,Male,4,204.18,10,37,24,Basic,South,Medium,3,0
C0378,46,Male,5,330.89,3,81,9,Silver,South,Low,2,0
C0379,63,Female,3,555.17,5,132,88,Gold,North,Medium,4,0
C0380,23,Male,9,263.37,2,23,82,Basic,North,Low,4,0
C0381,52,Male,4,349.37,3,142,95,Basic,East,Medium,9,0
C0382,58,Male,5,579.28,4,5,94,Basic,South,Medium,9,0
C0383,54,Female,1,467.35,4,110,36,Gold,North,Low,1,1
C0384,41,Male,2,473.87,11,152,34,Silver,East,Medium,4,0
C0385,46,Male,9,226.17,9,18,95,Basic,North,Medium,3,0
C0386,66,Male,2,307.35,1,27,30,Basic,East,Low,0,0
C0387,63,Male,5,141.17,9,24,86,Gold,East,High,0,0
C0388,48,Male,8,403.26,9,29,91,Gold,North,Medium,0,0
C0389,52,Male,3,151.87,11,139,92,Basic,North,Low,7,0
C0390,50,Female,6,517.95,6,146,8,Basic,South,Low,2,0
C0391,69,Female,4,507.28,11,123,71,Silver,South,Medium,8,0
C0392,38,Male,7,366.8,1,128,47,Silver,East,Medium,9,0
C0393,49,Female,3,170.58,11,112,34,Platinum,North,Low,1,0
C0394,40,Female,6,112.79,6,117,20,Basic,South,Low,8,0
C0395,50,Male,9,498.35,8,132,75,Silver,East,Medium,8,0
C0396,20,Female,1,400.07,5,33,43,Silver,South,Medium,3,0
C0397,35,Female,3,455.46,5,42,90,Gold,East,Low,3,0
C0398,42,Female,2,251.9,1,160,45,Basic,South,Medium,3,0
C0399,59,Female,8,354.74,1,179,35,Basic,North,High,0,0
C0400,48,Female,7,473.59,8,125,53,Basic,West,High,4,0
C0401,20,Female,2,331.28,5,4,17,Gold,West,High,5,0
C0402,57,Female,6,400.69,8,20,45,Basic,East,High,3,0
